Room Number,Room Description,Image
Room 45,"Constable, Corot and Ingres","https://www.nationalgallery.org.uk/media/33761/n-2652-00-000013-hd.jpg?center=0.60779220779220777,0.35045871559633029&mode=crop&width=1920&height=360&rnd=132385876562670000"
Room 46,Gainsborough's Blue Boy,https://www.nationalgallery.org.uk/media/z2rpe0ay/blueboy_desktop-banner-with-copy-1920-x-700.jpg
Room 47,Annenberg Court,https://www.nationalgallery.org.uk/media/8444/annenberg-court-lower-hall-c-wide.jpg
Room 48,Main Vestibule,https://www.nationalgallery.org.uk/media/8405/mosaic-anrep16-defiance-winston-wide.jpg
Room 49,Central Hall,https://www.nationalgallery.org.uk/media/8440/international-visitor-wilkins-c-wide_20090428133438.jpg
Room 50,Shop,https://www.nationalgallery.org.uk/media/29323/shopping-feature-page-header.gif
Room 51,"Italy, 1250–1350",https://www.nationalgallery.org.uk/media/8146/room-52-italy-1250-1350-wide.jpg
Room 52,"Siena, 1300–1450",https://www.nationalgallery.org.uk/media/10716/n-1139-00-000048-doc-crop-675x230.jpg
Room 53,"Florence and Beyond, 1440–1470","https://www.nationalgallery.org.uk/media/32630/n-0583-00-000152-hd.jpg?center=0.44186046511627908,0.47797356828193832&mode=crop&width=1920&height=360&rnd=132385388489730000"
Room 54,Mantegna and Crivelli,https://www.nationalgallery.org.uk/media/8153/room-59-carlo-crivelli-wide.jpg
Room 55,"Venice and the Veneto, 1460–1510",https://www.nationalgallery.org.uk/media/25506/cookies-policy-banner-675x231.jpg
Room 56,Venice after 1500,https://www.nationalgallery.org.uk/media/25285/675x230.jpg
Room 57,Ferrara and Bologna,https://www.nationalgallery.org.uk/media/8947/tura-muse-calliope-ng3070-c-wide-banner.jpg
Room 58,Botticelli and Filippino Lippi,https://www.nationalgallery.org.uk/media/8910/calendar_page_botticelli_venus_and_mars_ng915_c_wide_banner.jpg
Room 59,"Florence, 1460–1500",https://www.nationalgallery.org.uk/media/9134/event-fillippino-lippi-virgin-child-saints-jerome-dominic-ng293-c-wide-banner.jpg
Room 60,Florentine Altarpieces about 1350 – about 1460,https://www.nationalgallery.org.uk/media/ualofhuq/n-0569-01-000042-hd-1b.jpg
Room 61,"Central Italy, 1480–1520",https://www.nationalgallery.org.uk/media/8795/event-michelangelo-entombment-ng790-c-wide-banner.jpg
Room 62,Cologne and north-western Germany,https://www.nationalgallery.org.uk/media/10240/master-of-liesborn-head-of-christ-crucified-fragment-of-the-crucifixion-scene-ng259-c-banner.jpg
Room 63,15th-century Netherlandish painting,https://www.nationalgallery.org.uk/media/8150/room-56-the-netherlands-1400-1450-wide.jpg
Room 64,Beyond the Netherlands,https://www.nationalgallery.org.uk/media/30788/n-6553-00-000124-crop-7.jpg
Room 65,Southern Germany and Austria,https://www.nationalgallery.org.uk/media/8159/room-65-southern-germany-austria-wide.jpg
Room 66,Leonardo da Vinci at the National Gallery,https://www.nationalgallery.org.uk/media/23570/hiddenleonardo.jpg
Room 17a,Room closed,https://www.nationalgallery.org.uk/media/8310/room-d.jpg
Room 51a,"Fra Angelico, friar-painter of San Domenico","https://www.nationalgallery.org.uk/media/32734/n-0663-01-000010-hd.jpg?center=0.16326530612244897,0.47797356828193832&mode=crop&width=1920&height=360&rnd=132385439070200000"
