id	Room Number	Room Description	Connections	Image
41	Room 41	"Cézanne, Monet, Renoir"	"34,42"	"https://www.nationalgallery.org.uk/media/34533/n-6359-00-000039-hd.jpg?center=0.54285714285714282,0.41290322580645161&mode=crop&width=1920&height=360&rnd=132385909733670000"
42	Room 42	Room closed	"41,43"	https://www.nationalgallery.org.uk/media/8310/room-d.jpg
43	Room 43	"Gauguin, Seurat, Van Gogh"	"42,44"	https://www.nationalgallery.org.uk/media/25477/675x230_may.jpg
44	Room 44	"Cézanne, Degas, Monet"	"40,43,45"	https://www.nationalgallery.org.uk/media/4675/hub-monet-beach-trouville-ng3951-c-face-two-thirds.jpg
45	Room 45	"Constable, Corot and Ingres"	"44,48"	"https://www.nationalgallery.org.uk/media/33761/n-2652-00-000013-hd.jpg?center=0.60779220779220777,0.35045871559633029&mode=crop&width=1920&height=360&rnd=132385876562670000"
46	Room 46	Gainsborough's Blue Boy	"48"	https://www.nationalgallery.org.uk/media/z2rpe0ay/blueboy_desktop-banner-with-copy-1920-x-700.jpg
47	Room 47	Annenberg Court	"48,49"	https://www.nationalgallery.org.uk/media/8444/annenberg-court-lower-hall-c-wide.jpg
48	Room 48	Main Vestibule	"1,2,45,46,47,49,50"	https://www.nationalgallery.org.uk/media/8405/mosaic-anrep16-defiance-winston-wide.jpg
49	Room 49	Central Hall	"12,13,39,48,50"	https://www.nationalgallery.org.uk/media/8440/international-visitor-wilkins-c-wide_20090428133438.jpg
50	Room 50	Shop	"12,48,49"	https://www.nationalgallery.org.uk/media/29323/shopping-feature-page-header.gif
51	Room 51	"Italy, 1250–1350"	"9,51a,52,60"	https://www.nationalgallery.org.uk/media/8146/room-52-italy-1250-1350-wide.jpg
52	Room 52	"Siena, 1300–1450"	"51,53"	https://www.nationalgallery.org.uk/media/10716/n-1139-00-000048-doc-crop-675x230.jpg
53	Room 53	"Florence and Beyond, 1440–1470"	"52,54,59"	"https://www.nationalgallery.org.uk/media/32630/n-0583-00-000152-hd.jpg?center=0.44186046511627908,0.47797356828193832&mode=crop&width=1920&height=360&rnd=132385388489730000"
54	Room 54	Mantegna and Crivelli	"53,55"	https://www.nationalgallery.org.uk/media/8153/room-59-carlo-crivelli-wide.jpg
55	Room 55	"Venice and the Veneto, 1460–1510"	"54,56,57"	https://www.nationalgallery.org.uk/media/25506/cookies-policy-banner-675x231.jpg
56	Room 56	Venice after 1500	"55"	https://www.nationalgallery.org.uk/media/25285/675x230.jpg
57	Room 57	Ferrara and Bologna	"55,58,65"	https://www.nationalgallery.org.uk/media/8947/tura-muse-calliope-ng3070-c-wide-banner.jpg
58	Room 58	Botticelli and Filippino Lippi	"57,59"	https://www.nationalgallery.org.uk/media/8910/calendar_page_botticelli_venus_and_mars_ng915_c_wide_banner.jpg
59	Room 59	"Florence, 1460–1500"	"53,58,60,63"	https://www.nationalgallery.org.uk/media/9134/event-fillippino-lippi-virgin-child-saints-jerome-dominic-ng293-c-wide-banner.jpg
60	Room 60	Florentine Altarpieces about 1350 – about 1460	"51,59,61"	https://www.nationalgallery.org.uk/media/ualofhuq/n-0569-01-000042-hd-1b.jpg
61	Room 61	"Central Italy, 1480–1520"	"60,62"	https://www.nationalgallery.org.uk/media/8795/event-michelangelo-entombment-ng790-c-wide-banner.jpg
62	Room 62	Cologne and north-western Germany	"61,63"	https://www.nationalgallery.org.uk/media/10240/master-of-liesborn-head-of-christ-crucified-fragment-of-the-crucifixion-scene-ng259-c-banner.jpg
63	Room 63	15th-century Netherlandish painting	"59,62,64"	https://www.nationalgallery.org.uk/media/8150/room-56-the-netherlands-1400-1450-wide.jpg
64	Room 64	Beyond the Netherlands	"63,65"	https://www.nationalgallery.org.uk/media/30788/n-6553-00-000124-crop-7.jpg
65	Room 65	Southern Germany and Austria	"57,64,66"	https://www.nationalgallery.org.uk/media/8159/room-65-southern-germany-austria-wide.jpg
66	Room 66	Leonardo da Vinci at the National Gallery	"65"	https://www.nationalgallery.org.uk/media/23570/hiddenleonardo.jpg
67	Room 17a	Room closed	"17"	https://www.nationalgallery.org.uk/media/8310/room-d.jpg
68	Room 51a	"Fra Angelico, friar-painter of San Domenico"	"51"	"https://www.nationalgallery.org.uk/media/32734/n-0663-01-000010-hd.jpg?center=0.16326530612244897,0.47797356828193832&mode=crop&width=1920&height=360&rnd=132385439070200000"
